DATE,DAAA,ADS_Index,Mkt-RF,SMB,HML,RMW,CMA,RF,AAPL_Close,GOOGL_Close,META_Close,TSLA_Close,DBAA,DEXJPUS,CBBTCUSD,CBETHUSD,DEXUSEU,DEXUSUK,NIKKEI225,OBMMIJUMBO30YF,SP500,T10Y3M,T10YIE,Open,Close,High,Low,Volume
2018-06-15,3.91,0.0370799,-0.08,0.12,-0.24,0.65,-0.22,0.006,45.11743546,57.96350098,195.8500061,23.87800026,4.8,110.58,,,1.1616,1.3283,,4.731,,,,96.00793381443025,94.70272827148438,96.02684659488168,94.64598271426564,65738600
2018-06-18,3.94,0.0455996,-0.09,0.74,0.08,-0.41,0.09,0.006,45.09354019,59.17900085,198.3099976,24.72200012,4.82,110.44,6709.02,517.47,1.1606,1.3247,,4.768,2773.75,0.98,2.12,94.58924647589362,95.39317321777344,95.62962268396544,94.03122198343064,23586000
2018-06-19,3.93,0.0470008,-0.38,0.54,-0.14,-0.24,-0.46,0.006,44.36483765,58.93450165,197.4900055,23.50333214,4.8,110.02,6736.41,538.5,1.1577,1.3172,22278.48,4.71,2762.59,0.95,2.12,94.24875866730792,95.39317321777344,95.52558434157176,94.1068875444197,28653100
2018-06-20,3.99,0.0477437,0.23,0.66,-0.51,-0.15,0.1,0.006,44.55834961,59.20349884,202.0,24.14800072,4.85,110.14,6756.1,535.99,1.1592,1.3213,22555.43,4.676,2767.32,0.99,2.12,95.87555068322976,96.34844970703124,96.96321266528004,95.639101171329,26180800
2018-06-21,3.98,0.0478284,-0.73,-0.55,0.33,0.45,0.0,0.006,44.30989456,58.47200012,201.5,23.1673336,4.85,110.05,6719.01,525.49,1.16,1.3251,22693.04,4.724,2749.76,0.96,2.11,96.54704174848747,95.65798950195312,96.9064423169825,95.41208005200146,23198200
2018-06-22,3.99,0.047255,0.11,-0.08,0.46,-0.53,0.92,0.006,44.18086624,58.46450043,201.7400055,22.24200058,4.87,109.98,6059.82,462.01,1.163,1.3258,22516.83,4.711,2754.88,0.97,2.12,94.967529296875,94.967529296875,95.3080097541883,94.22980119441996,38923100
2018-06-25,3.98,0.0416782,-1.48,-0.45,0.57,0.62,-0.02,0.006,43.52383804,56.9640007,196.3500061,22.20066643,4.86,109.62,6246.01,458.41,1.1694,1.3273,22338.15,4.701,2717.07,0.94,2.1,94.579772264239,93.05703735351562,94.68381059099876,92.02612129945012,35433300
2018-06-26,3.98,0.038658,0.27,0.51,-0.24,-0.48,0.13,0.006,44.06380081,56.63100052,199.0,22.79999924,4.87,109.92,6074.0,429.08,1.1675,1.3243,22342.0,4.622,2723.06,0.95,2.12,93.4637234641466,93.70963287353516,94.65543052333057,93.39751791729546,26897200
2018-06-27,3.93,0.0350716,-1.02,-1.0,0.36,-0.06,0.47,0.006,43.99929047,55.84700012,195.8399963,22.96666718,4.81,110.34,6132.17,441.41,1.1588,1.3139,22271.77,4.751,2699.63,0.9,2.11,94.18253326719824,92.25310516357422,94.59867933325268,92.1206940676664,31298400
2018-06-28,3.93,0.0309177,0.58,-0.21,-0.51,-0.18,-0.52,0.006,44.31943893,56.3390007,196.2299957,23.32866669,4.84,110.38,5851.66,420.0,1.1582,1.3095,22270.39,4.68,2716.31,0.91,2.1,92.10177994233824,93.28402709960938,93.73801318298165,91.98828883339318,26650700
2018-06-29,3.93,0.0261951,0.07,-0.24,-0.24,-0.24,-0.01,0.006,44.22626495,56.45949936,194.3200073,22.86333275,4.84,110.71,6202.36,434.6,1.1677,1.3197,22304.51,4.791,2718.37,0.92,2.11,93.56778412091016,93.26512908935548,94.49466921397058,93.00030683872824,28053200
2018-07-02,3.93,0.00967907,0.36,0.45,-0.25,-0.08,-0.55,0.008,44.7208252,57.10549927,197.3600006,22.33799934,4.84,110.73,6611.79,476.34,1.1604,1.3133,21811.93,4.646,2726.71,0.89,2.14,92.78275626287024,94.5892333984375,94.6365189556194,92.6881779326424,19564500
2018-07-03,3.9,0.00482453,-0.44,0.76,-0.02,-0.29,0.45,0.008,43.94194794,55.81399918,192.7299957,20.72400093,4.82,110.54,6502.62,461.75,1.1653,1.3174,21785.54,4.688,2713.22,0.85,2.12,95.03375780903802,93.68126678466795,95.17562169394152,93.57722845849612,14670300
2018-07-05,3.89,-0.00337792,0.87,0.39,-0.43,0.34,-0.18,0.008,44.29554749,57.0644989,198.4499969,20.61066628,4.79,110.59,6532.95,467.25,1.1697,1.3228,21546.99,4.653,2736.61,0.88,2.13,94.10688138333708,94.35279083251952,94.50411472872555,93.66235526146036,18977400
2018-07-06,3.88,-0.0067284,0.88,-0.02,-0.3,-0.25,-0.14,0.008,44.9095726,57.75400162,203.2299957,20.59333229,4.78,110.48,6600.0,469.3,1.1738,1.3262,21788.14,4.73,2759.82,0.85,2.12,94.47575820203971,95.67692565917967,95.93228793489862,94.26768149507905,19234600
2018-07-09,3.85,-0.013762,0.93,-0.29,0.86,0.03,-0.22,0.008,45.53315353,58.36399841,204.7400055,21.23399925,4.79,110.78,6664.01,471.6,1.1744,1.3202,22052.18,4.652,2784.17,0.88,2.13,96.14034924394096,96.32950592041016,96.70782648921328,95.76202867513784,18212000
2018-07-10,3.85,-0.0150671,0.21,-0.82,-0.17,0.11,0.27,0.008,45.47819519,58.35699844,203.5399933,21.49799919,4.78,111.24,6303.7,432.59,1.1728,1.3266,22196.89,4.659,2793.84,0.88,2.13,96.47138629725816,96.58488464355467,96.95374524918674,96.33897516784486,19293100
